id	namespace	canonical_path	source_count	variant_count	status
core/agent-roster	core	skills/core/agent-roster/SKILL.md	1	1	canonical
hearthpulse/api-contract-change	hearthpulse	skills/hearthpulse/api-contract-change/SKILL.md	19	1	canonical
hearthpulse/arch-boundaries	hearthpulse	skills/hearthpulse/arch-boundaries/SKILL.md	19	1	canonical
data/audit-parser-system	data	skills/data/audit-parser-system/SKILL.md	8	1	canonical
content/better-writing	content	skills/content/better-writing/SKILL.md	1	1	canonical
wordpress/blocksy-theme	wordpress	skills/wordpress/blocksy-theme/SKILL.md	3	1	canonical
core/botforge	core	skills/core/botforge/SKILL.md	2	1	canonical
hearthpulse/checkpoint-commit	hearthpulse	skills/hearthpulse/checkpoint-commit/SKILL.md	19	1	canonical
wordpress/cloudflare	wordpress	skills/wordpress/cloudflare/SKILL.md	6	1	canonical
hearthpulse/css-tokens	hearthpulse	skills/hearthpulse/css-tokens/SKILL.md	19	1	canonical
deckview/deckview-maintainer	deckview	skills/deckview/deckview-maintainer/SKILL.md	1	1	canonical
deckview/deckview-pillow-renderer	deckview	skills/deckview/deckview-pillow-renderer/SKILL.md	1	1	canonical
deckview/deckview-pyo3-boundary	deckview	skills/deckview/deckview-pyo3-boundary/SKILL.md	1	1	canonical
deckview/deckview-render-benchmark	deckview	skills/deckview/deckview-render-benchmark/SKILL.md	1	1	canonical
deckview/deckview-render-cache	deckview	skills/deckview/deckview-render-cache/SKILL.md	1	1	canonical
deckview/deckview-render-contract	deckview	skills/deckview/deckview-render-contract/SKILL.md	1	1	canonical
deckview/deckview-rust-compositor	deckview	skills/deckview/deckview-rust-compositor/SKILL.md	1	1	canonical
deckview/deckview-visual-regression	deckview	skills/deckview/deckview-visual-regression/SKILL.md	1	1	canonical
content/deep-research	content	skills/content/deep-research/SKILL.md	1	1	canonical
core/dev-team	core	skills/core/dev-team/SKILL.md	1	1	canonical
hearthpulse/extract-from-god-file	hearthpulse	skills/hearthpulse/extract-from-god-file/SKILL.md	19	1	canonical
content/hearthstone-editor	content	skills/content/hearthstone-editor/SKILL.md	1	1	canonical
content/hs-edit	content	skills/content/hs-edit/SKILL.md	1	1	canonical
wordpress/hs-manacost-project	wordpress	skills/wordpress/hs-manacost-project/SKILL.md	3	1	canonical
content/hs-research	content	skills/content/hs-research/SKILL.md	1	1	canonical
data/karpathy-coder	data	skills/data/karpathy-coder/SKILL.md	1	1	canonical
wordpress/kolodahearthstone-project	wordpress	skills/wordpress/kolodahearthstone-project/SKILL.md	3	1	canonical
hearthpulse/new-feature-slice	hearthpulse	skills/hearthpulse/new-feature-slice/SKILL.md	19	1	canonical
hearthpulse/new-server-module	hearthpulse	skills/hearthpulse/new-server-module/SKILL.md	19	1	canonical
wordpress/newspaper-tagdiv	wordpress	skills/wordpress/newspaper-tagdiv/SKILL.md	3	1	canonical
openbot/openbot-data-access	openbot	skills/openbot/openbot-data-access/SKILL.md	2	1	canonical
openbot/openbot-screen-layout	openbot	skills/openbot/openbot-screen-layout/SKILL.md	2	1	canonical
wordpress/playwright	wordpress	skills/wordpress/playwright/SKILL.md	6	1	canonical
data/pr-review-expert	data	skills/data/pr-review-expert/SKILL.md	1	1	canonical
data/python-ci	data	skills/data/python-ci/SKILL.md	1	1	canonical
data/python-lint	data	skills/data/python-lint/SKILL.md	1	1	canonical
data/python-typing	data	skills/data/python-typing/SKILL.md	1	1	canonical
core/react-doctor	core	skills/core/react-doctor/SKILL.md	1	1	canonical
hearthpulse/release-runbook	hearthpulse	skills/hearthpulse/release-runbook/SKILL.md	19	1	canonical
data/scraper-debugger	data	skills/data/scraper-debugger/SKILL.md	1	1	canonical
data/scraper-regression	data	skills/data/scraper-regression/SKILL.md	1	1	canonical
data/site-profile-engineer	data	skills/data/site-profile-engineer/SKILL.md	1	1	canonical
data/systematic-debugging	data	skills/data/systematic-debugging/SKILL.md	1	1	canonical
data/test-driven-development	data	skills/data/test-driven-development/SKILL.md	1	1	canonical
content/tools	content	skills/content/tools/SKILL.md	1	1	canonical
wordpress/turnstile-spin	wordpress	skills/wordpress/turnstile-spin/SKILL.md	6	1	canonical
core/ui-ux-pro-max	core	skills/core/ui-ux-pro-max/SKILL.md	1	1	canonical
wordpress/update-to-wordpress-6-9	wordpress	skills/wordpress/update-to-wordpress-6-9/SKILL.md	6	1	canonical
data/verification-before-completion	data	skills/data/verification-before-completion/SKILL.md	1	1	canonical
hearthpulse/verify-gate	hearthpulse	skills/hearthpulse/verify-gate/SKILL.md	19	1	canonical
frontend/web-perf	frontend	skills/frontend/web-perf/SKILL.md	6	1	canonical
data/web-scraper	data	skills/data/web-scraper/SKILL.md	1	1	canonical
wordpress/hs-manacost/wordpress-accessibility	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-accessibility/SKILL.md	6	2	canonical
wordpress/kolodahearthstone/wordpress-accessibility	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-accessibility/SKILL.md	6	2	canonical
wordpress/hs-manacost/wordpress-admin-performance	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-admin-performance/SKILL.md	6	2	canonical
wordpress/kolodahearthstone/wordpress-admin-performance	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-admin-performance/SKILL.md	6	2	canonical
wordpress/hs-manacost/wordpress-admin-ui	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-admin-ui/SKILL.md	6	2	canonical
wordpress/kolodahearthstone/wordpress-admin-ui	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-admin-ui/SKILL.md	6	2	canonical
wordpress/hs-manacost/wordpress-ads-analytics	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-ads-analytics/SKILL.md	6	2	canonical
wordpress/kolodahearthstone/wordpress-ads-analytics	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-ads-analytics/SKILL.md	6	2	canonical
wordpress/hs-manacost/wordpress-article-editor	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-article-editor/SKILL.md	6	2	canonical
wordpress/kolodahearthstone/wordpress-article-editor	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-article-editor/SKILL.md	6	2	canonical
wordpress/hs-manacost/wordpress-audit-handoff	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-audit-handoff/SKILL.md	6	2	canonical
wordpress/kolodahearthstone/wordpress-audit-handoff	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-audit-handoff/SKILL.md	6	2	canonical
wordpress/hs-manacost/wordpress-change-impact	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-change-impact/SKILL.md	6	2	canonical
